scrapeNum,courseCodes,link
65,BU469,https://academic-calendar.wlu.ca/course.php?c=49818&cal=1&d=1942&s=899&y=77
66,BU470,https://academic-calendar.wlu.ca/course.php?c=49843&cal=1&d=1942&s=899&y=77
67,BU471,https://academic-calendar.wlu.ca/course.php?c=49819&cal=1&d=1942&s=899&y=77
68,BU472,https://academic-calendar.wlu.ca/course.php?c=49820&cal=1&d=1942&s=899&y=77
69,BU473,https://academic-calendar.wlu.ca/course.php?c=49821&cal=1&d=1942&s=899&y=77
70,BU474,https://academic-calendar.wlu.ca/course.php?c=49822&cal=1&d=1942&s=899&y=77
71,BU477,https://academic-calendar.wlu.ca/course.php?c=49824&cal=1&d=1942&s=899&y=77
72,BU479,https://academic-calendar.wlu.ca/course.php?c=49825&cal=1&d=1942&s=899&y=77
73,BU480,https://academic-calendar.wlu.ca/course.php?c=49826&cal=1&d=1942&s=899&y=77
74,BU481,https://academic-calendar.wlu.ca/course.php?c=49827&cal=1&d=1942&s=899&y=77
75,BU482,https://academic-calendar.wlu.ca/course.php?c=49828&cal=1&d=1942&s=899&y=77
76,BU483,https://academic-calendar.wlu.ca/course.php?c=49829&cal=1&d=1942&s=899&y=77
77,BU485,https://academic-calendar.wlu.ca/course.php?c=49830&cal=1&d=1942&s=899&y=77
78,BU486,https://academic-calendar.wlu.ca/course.php?c=49846&cal=1&d=1942&s=899&y=77
79,BU487,https://academic-calendar.wlu.ca/course.php?c=49831&cal=1&d=1942&s=899&y=77
80,BU488,https://academic-calendar.wlu.ca/course.php?c=49832&cal=1&d=1942&s=899&y=77
81,BU489,https://academic-calendar.wlu.ca/course.php?c=49845&cal=1&d=1942&s=899&y=77
82,BU490,https://academic-calendar.wlu.ca/course.php?c=49849&cal=1&d=1942&s=899&y=77
83,BU491,https://academic-calendar.wlu.ca/course.php?c=49833&cal=1&d=1942&s=899&y=77
84,BU492,https://academic-calendar.wlu.ca/course.php?c=49834&cal=1&d=1942&s=899&y=77
85,BU493,https://academic-calendar.wlu.ca/course.php?c=49835&cal=1&d=1942&s=899&y=77
86,BU495,https://academic-calendar.wlu.ca/course.php?c=49836&cal=1&d=1942&s=899&y=77
87,BU496,https://academic-calendar.wlu.ca/course.php?c=49837&cal=1&d=1942&s=899&y=77
88,BU497,https://academic-calendar.wlu.ca/course.php?c=49838&cal=1&d=1942&s=899&y=77
89,BU498,https://academic-calendar.wlu.ca/course.php?c=49839&cal=1&d=1942&s=899&y=77
90,BU499,https://academic-calendar.wlu.ca/course.php?c=49850&cal=1&d=1942&s=899&y=77
91,[1],https://academic-calendar.wlu.ca/#se_1
92,CH110,https://academic-calendar.wlu.ca/course.php?c=63842&cal=1&d=2575&s=1034&y=85
93,CH111,https://academic-calendar.wlu.ca/course.php?c=63843&cal=1&d=2575&s=1034&y=85
94,CH120,https://academic-calendar.wlu.ca/course.php?c=63844&cal=1&d=2575&s=1034&y=85
95,CH121,https://academic-calendar.wlu.ca/course.php?c=63845&cal=1&d=2575&s=1034&y=85
96,CH130,https://academic-calendar.wlu.ca/course.php?c=63877&cal=1&d=2575&s=1034&y=85
97,CH131,https://academic-calendar.wlu.ca/course.php?c=63895&cal=1&d=2575&s=1034&y=85
98,CH202,https://academic-calendar.wlu.ca/course.php?c=63846&cal=1&d=2575&s=1034&y=85
99,CH203,https://academic-calendar.wlu.ca/course.php?c=63847&cal=1&d=2575&s=1034&y=85
100,CH204,https://academic-calendar.wlu.ca/course.php?c=63848&cal=1&d=2575&s=1034&y=85
101,CH205,https://academic-calendar.wlu.ca/course.php?c=63849&cal=1&d=2575&s=1034&y=85
102,CH206,https://academic-calendar.wlu.ca/course.php?c=63896&cal=1&d=2575&s=1034&y=85
103,CH207,https://academic-calendar.wlu.ca/course.php?c=63897&cal=1&d=2575&s=1034&y=85
104,CH212,https://academic-calendar.wlu.ca/course.php?c=63850&cal=1&d=2575&s=1034&y=85
105,CH213,https://academic-calendar.wlu.ca/course.php?c=63851&cal=1&d=2575&s=1034&y=85
106,CH215,https://academic-calendar.wlu.ca/course.php?c=63852&cal=1&d=2575&s=1034&y=85
107,CH225,https://academic-calendar.wlu.ca/course.php?c=63853&cal=1&d=2575&s=1034&y=85
108,CH226,https://academic-calendar.wlu.ca/course.php?c=63854&cal=1&d=2575&s=1034&y=85
109,CH233,https://academic-calendar.wlu.ca/course.php?c=63855&cal=1&d=2575&s=1034&y=85
